Product,Channel,WeekStart,TV,Online,StoresAvailability
TXX00,E,2015-02-09,0.0,0.0,57
TXX06,E,2015-02-09,0.0,0.0,53
TXXX0,E,2015-02-09,0.0,0.0,58
TXZ06,E,2015-02-09,0.0,0.0,67
TXX00,B,2015-02-09,0.0,0.0,41
TXX06,B,2015-02-09,0.0,0.0,37
TXXX0,B,2015-02-09,0.0,0.0,48
TXZ06,B,2015-02-09,0.0,0.0,53
TXX00,A,2015-02-09,0.0,0.0,4
TXX06,A,2015-02-09,0.0,0.0,4
TXX00,C,2015-02-09,0.0,0.0,92
TXX06,C,2015-02-09,0.0,0.0,93
TXXX0,C,2015-02-09,0.0,0.0,89
TXZ06,C,2015-02-09,0.0,0.0,92
TXX00,D,2015-02-09,0.0,0.0,1
TXX06,D,2015-02-09,0.0,0.0,2
TXZ06,D,2015-02-09,0.0,0.0,1
TXQT7,E,2015-02-09,0.0,0.0,61
TXQTZ,E,2015-02-09,0.0,0.0,65
TXQT7,B,2015-02-09,0.0,0.0,39
TXQTZ,B,2015-02-09,0.0,0.0,45
TXQT7,A,2015-02-09,0.0,0.0,3
TXQTZ,A,2015-02-09,0.0,0.0,12
TXQQX,C,2015-02-09,0.0,0.0,34
TXQT7,C,2015-02-09,0.0,0.0,89
TXQTZ,C,2015-02-09,0.0,0.0,87
TXQQX,D,2015-02-09,0.0,0.0,1
TXX5Q,E,2015-02-16,0.0,0.0,52
TXQ0T,E,2015-02-16,0.0,0.0,48
TXX5Q,B,2015-02-16,0.0,0.0,31
TXQ0T,B,2015-02-16,0.0,0.0,31
TXX5Q,A,2015-02-16,0.0,0.0,61
TXQ0T,A,2015-02-16,0.0,0.0,61
TXX5Q,C,2015-02-16,0.0,0.0,94
TXQ0T,C,2015-02-16,0.0,0.0,91
TXX06,E,2015-02-16,0.0,0.0,52
TXXX0,E,2015-02-16,0.0,0.0,57
TXZ06,E,2015-02-16,0.0,0.0,60
TXX00,B,2015-02-16,0.0,0.0,27
TXX06,B,2015-02-16,0.0,0.0,36
TXXX0,B,2015-02-16,0.0,0.0,40
TXZ06,B,2015-02-16,0.0,0.0,39
TXX00,A,2015-02-16,0.0,0.0,3
TXX06,A,2015-02-16,0.0,0.0,3
TXX00,C,2015-02-16,0.0,0.0,89
TXX06,C,2015-02-16,0.0,0.0,89
TXXX0,C,2015-02-16,0.0,0.0,89
TXZ06,C,2015-02-16,0.0,0.0,92
TXX00,D,2015-02-16,0.0,0.0,1
TXX06,D,2015-02-16,0.0,0.0,2
TXZ06,D,2015-02-16,0.0,0.0,1
TXQT7,E,2015-02-16,0.0,0.0,63
TXQTZ,E,2015-02-16,0.0,0.0,62
TXQT7,B,2015-02-16,0.0,0.0,43
TXQTZ,B,2015-02-16,0.0,0.0,46
TXQT7,A,2015-02-16,0.0,0.0,10
TXQTZ,A,2015-02-16,0.0,0.0,13
TXQQX,C,2015-02-16,0.0,0.0,37
TXQT7,C,2015-02-16,0.0,0.0,86
TXQTZ,C,2015-02-16,0.0,0.0,85
TXQQX,D,2015-02-16,0.0,0.0,1
TXX5Q,E,2015-02-23,0.0,0.0,53
TXQ0T,E,2015-02-23,0.0,0.0,60
TXX5Q,B,2015-02-23,0.0,0.0,35
TXQ0T,B,2015-02-23,0.0,0.0,24
TXX5Q,A,2015-02-23,0.0,0.0,58
TXQ0T,A,2015-02-23,0.0,0.0,66
TXX5Q,C,2015-02-23,0.0,0.0,94
TXQ0T,C,2015-02-23,0.0,0.0,92
TXX00,E,2015-02-23,0.0,0.0,54
TXX06,E,2015-02-23,0.0,0.0,57
TXXX0,E,2015-02-23,0.0,0.0,60
TXZ06,E,2015-02-23,0.0,0.0,66
TXX00,B,2015-02-23,0.0,0.0,40
TXX06,B,2015-02-23,0.0,0.0,36
TXXX0,B,2015-02-23,0.0,0.0,46
TXZ06,B,2015-02-23,0.0,0.0,49
TXX00,A,2015-02-23,0.0,0.0,1
TXX06,A,2015-02-23,0.0,0.0,1
TXX00,C,2015-02-23,0.0,0.0,88
TXX06,C,2015-02-23,0.0,0.0,90
TXXX0,C,2015-02-23,0.0,0.0,88
TXZ06,C,2015-02-23,0.0,0.0,91
TXX00,D,2015-02-23,0.0,0.0,1
TXZ06,D,2015-02-23,0.0,0.0,1
TXQT7,E,2015-02-23,0.0,0.0,52
TXQTZ,E,2015-02-23,0.0,0.0,65
TXQT7,B,2015-02-23,0.0,0.0,51
TXQTZ,B,2015-02-23,0.0,0.0,55
TXQT7,A,2015-02-23,0.0,0.0,3
TXQTZ,A,2015-02-23,0.0,0.0,2
TXQQX,C,2015-02-23,0.0,0.0,31
TXQT7,C,2015-02-23,0.0,0.0,86
TXQTZ,C,2015-02-23,0.0,0.0,86
TXQQX,D,2015-02-23,0.0,0.0,1
TXX5Q,E,2015-03-02,0.0,0.0,46
TXQ0T,E,2015-03-02,0.0,0.0,46
TXX5Q,B,2015-03-02,0.0,0.0,24
TXQ0T,B,2015-03-02,0.0,0.0,27
TXX5Q,A,2015-03-02,0.0,0.0,44
TXQ0T,A,2015-03-02,0.0,0.0,57
TXX5Q,C,2015-03-02,0.0,0.0,94
TXQ0T,C,2015-03-02,0.0,0.0,92
TXX00,E,2015-03-02,0.0,0.0,49
TXX06,E,2015-03-02,0.0,0.0,48
TXXX0,E,2015-03-02,0.0,0.0,51
TXZ06,E,2015-03-02,0.0,0.0,55
TXX00,B,2015-03-02,0.0,0.0,36
TXX06,B,2015-03-02,0.0,0.0,35
TXXX0,B,2015-03-02,0.0,0.0,39
TXZ06,B,2015-03-02,0.0,0.0,47
TXX00,A,2015-03-02,0.0,0.0,2
TXX06,A,2015-03-02,0.0,0.0,3
TXZ06,A,2015-03-02,0.0,0.0,1
TXX00,C,2015-03-02,0.0,0.0,97
TXX06,C,2015-03-02,0.0,0.0,95
TXXX0,C,2015-03-02,0.0,0.0,91
TXZ06,C,2015-03-02,0.0,0.0,92
TXZ06,D,2015-03-02,0.0,0.0,1
TXQT7,E,2015-03-02,144521.85,0.0,52
TXQTZ,E,2015-03-02,144521.85,0.0,55
TXQT7,B,2015-03-02,144521.85,0.0,61
TXQTZ,B,2015-03-02,144521.85,0.0,51
TXQT7,A,2015-03-02,144521.85,0.0,7
TXQTZ,A,2015-03-02,144521.85,0.0,7
TXQQX,C,2015-03-02,144521.85,0.0,40
TXQT7,C,2015-03-02,144521.85,0.0,96
TXQTZ,C,2015-03-02,144521.85,0.0,93
TXQQX,D,2015-03-02,144521.85,0.0,1
TXX5Q,E,2015-03-09,0.0,0.0,60
TXQ0T,E,2015-03-09,0.0,0.0,51
TXX5Q,B,2015-03-09,0.0,0.0,29
TXQ0T,B,2015-03-09,0.0,0.0,22
TXX5Q,A,2015-03-09,0.0,0.0,34
TXQ0T,A,2015-03-09,0.0,0.0,53
TXX5Q,C,2015-03-09,0.0,0.0,95
TXQ0T,C,2015-03-09,0.0,0.0,93
TXX00,E,2015-03-09,0.0,0.0,44
TXX06,E,2015-03-09,0.0,0.0,51
TXXX0,E,2015-03-09,0.0,0.0,55
TXZ06,E,2015-03-09,0.0,0.0,64
TXX00,B,2015-03-09,0.0,0.0,36
TXX06,B,2015-03-09,0.0,0.0,47
TXXX0,B,2015-03-09,0.0,0.0,44
TXZ06,B,2015-03-09,0.0,0.0,48
TXX00,A,2015-03-09,0.0,0.0,3
TXX06,A,2015-03-09,0.0,0.0,3
TXZ06,A,2015-03-09,0.0,0.0,1
TXX00,C,2015-03-09,0.0,0.0,87
TXX06,C,2015-03-09,0.0,0.0,91
TXXX0,C,2015-03-09,0.0,0.0,90
TXZ06,C,2015-03-09,0.0,0.0,91
TXZ06,D,2015-03-09,0.0,0.0,1
TXQT7,E,2015-03-09,0.0,0.0,60
TXQTZ,E,2015-03-09,0.0,0.0,60
TXQT7,B,2015-03-09,0.0,0.0,61
TXQTZ,B,2015-03-09,0.0,0.0,53
TXQT7,A,2015-03-09,0.0,0.0,5
TXQTZ,A,2015-03-09,0.0,0.0,5
TXQQX,C,2015-03-09,0.0,0.0,31
TXQT7,C,2015-03-09,0.0,0.0,89
TXQTZ,C,2015-03-09,0.0,0.0,84
TXQQX,D,2015-03-09,0.0,0.0,2
TXX5Q,E,2015-03-16,0.0,0.0,62
TXQ0T,E,2015-03-16,0.0,0.0,48
TXX5Q,B,2015-03-16,0.0,0.0,35
TXQ0T,B,2015-03-16,0.0,0.0,32
TXX5Q,A,2015-03-16,0.0,0.0,33
TXQ0T,A,2015-03-16,0.0,0.0,57
TXX5Q,C,2015-03-16,0.0,0.0,96
TXQ0T,C,2015-03-16,0.0,0.0,94
TXX00,E,2015-03-16,0.0,0.0,53
TXX06,E,2015-03-16,0.0,0.0,54
TXXX0,E,2015-03-16,0.0,0.0,55
TXZ06,E,2015-03-16,0.0,0.0,66
TXX00,B,2015-03-16,0.0,0.0,24
TXX06,B,2015-03-16,0.0,0.0,29
TXXX0,B,2015-03-16,0.0,0.0,40
TXZ06,B,2015-03-16,0.0,0.0,44
TXX00,A,2015-03-16,0.0,0.0,2
TXX06,A,2015-03-16,0.0,0.0,2
TXX00,C,2015-03-16,0.0,0.0,88
TXX06,C,2015-03-16,0.0,0.0,90
TXXX0,C,2015-03-16,0.0,0.0,87
TXZ06,C,2015-03-16,0.0,0.0,92
TXX00,D,2015-03-16,0.0,0.0,1
TXZ06,D,2015-03-16,0.0,0.0,1
TXQT7,E,2015-03-16,148281.84,0.0,60
TXQTZ,E,2015-03-16,148281.84,0.0,59
TXQT7,B,2015-03-16,148281.84,0.0,62
TXQTZ,B,2015-03-16,148281.84,0.0,56
TXQT7,A,2015-03-16,148281.84,0.0,3
TXQQX,C,2015-03-16,148281.84,0.0,37
TXQT7,C,2015-03-16,148281.84,0.0,87
TXQTZ,C,2015-03-16,148281.84,0.0,84
TXQQX,D,2015-03-16,148281.84,0.0,1
TXX5Q,E,2015-03-23,0.0,0.0,55
TXQ0T,E,2015-03-23,0.0,0.0,50
TXX5Q,B,2015-03-23,0.0,0.0,34
TXQ0T,B,2015-03-23,0.0,0.0,27
TXX5Q,A,2015-03-23,0.0,0.0,26
TXQ0T,A,2015-03-23,0.0,0.0,44
TXX5Q,C,2015-03-23,0.0,0.0,96
TXQ0T,C,2015-03-23,0.0,0.0,93
TXX00,E,2015-03-23,0.0,0.0,52
TXX06,E,2015-03-23,0.0,0.0,43
TXXX0,E,2015-03-23,0.0,0.0,54
TXZ06,E,2015-03-23,0.0,0.0,62
TXX00,B,2015-03-23,0.0,0.0,32
TXX06,B,2015-03-23,0.0,0.0,35
TXXX0,B,2015-03-23,0.0,0.0,45
TXZ06,B,2015-03-23,0.0,0.0,51
TXX00,A,2015-03-23,0.0,0.0,2
TXX06,A,2015-03-23,0.0,0.0,2
TXX00,C,2015-03-23,0.0,0.0,92
TXX06,C,2015-03-23,0.0,0.0,90
TXXX0,C,2015-03-23,0.0,0.0,88
TXZ06,C,2015-03-23,0.0,0.0,93
TXX00,D,2015-03-23,0.0,0.0,1
TXZ06,D,2015-03-23,0.0,0.0,1
TXX00,F,2015-03-23,0.0,0.0,2
TXQT7,E,2015-03-23,0.0,0.0,57
TXQTZ,E,2015-03-23,0.0,0.0,57
TXQT7,B,2015-03-23,0.0,0.0,53
TXQTZ,B,2015-03-23,0.0,0.0,55
TXQT7,A,2015-03-23,0.0,0.0,15
TXQTZ,A,2015-03-23,0.0,0.0,8
TXQQX,C,2015-03-23,0.0,0.0,32
TXQT7,C,2015-03-23,0.0,0.0,91
TXQTZ,C,2015-03-23,0.0,0.0,89
TXX5Q,E,2015-03-30,0.0,0.0,55
TXQ0T,E,2015-03-30,0.0,0.0,52
TXX5Q,B,2015-03-30,0.0,0.0,37
TXQ0T,B,2015-03-30,0.0,0.0,32
TXX5Q,A,2015-03-30,0.0,0.0,45
TXQ0T,A,2015-03-30,0.0,0.0,43
TXX5Q,C,2015-03-30,0.0,0.0,94
TXQ0T,C,2015-03-30,0.0,0.0,94
TXX00,E,2015-03-30,0.0,0.0,51
TXX06,E,2015-03-30,0.0,0.0,52
TXXX0,E,2015-03-30,0.0,0.0,55
TXZ06,E,2015-03-30,0.0,0.0,68
TXX00,B,2015-03-30,0.0,0.0,41
TXX06,B,2015-03-30,0.0,0.0,43
TXXX0,B,2015-03-30,0.0,0.0,45
TXZ06,B,2015-03-30,0.0,0.0,44
TXX00,A,2015-03-30,0.0,0.0,2
TXX06,A,2015-03-30,0.0,0.0,2
TXX00,C,2015-03-30,0.0,0.0,90
TXX06,C,2015-03-30,0.0,0.0,89
TXXX0,C,2015-03-30,0.0,0.0,88
TXZ06,C,2015-03-30,0.0,0.0,92
TXX00,D,2015-03-30,0.0,0.0,1
TXX06,D,2015-03-30,0.0,0.0,1
TXZ06,D,2015-03-30,0.0,0.0,1
TXQT7,E,2015-03-30,155219.94,0.0,60
TXQTZ,E,2015-03-30,155219.94,0.0,58
TXQT7,B,2015-03-30,155219.94,0.0,50
TXQTZ,B,2015-03-30,155219.94,0.0,57
TXQT7,A,2015-03-30,155219.94,0.0,9
TXQTZ,A,2015-03-30,155219.94,0.0,1
TXQQX,C,2015-03-30,155219.94,0.0,39
TXQT7,C,2015-03-30,155219.94,0.0,86
TXQTZ,C,2015-03-30,155219.94,0.0,89
TXX5Q,E,2015-04-06,0.0,0.0,58
TXQ0T,E,2015-04-06,0.0,0.0,51
TXX5Q,B,2015-04-06,0.0,0.0,30
TXQ0T,B,2015-04-06,0.0,0.0,30
TXX5Q,A,2015-04-06,0.0,0.0,51
TXQ0T,A,2015-04-06,0.0,0.0,34
TXX5Q,C,2015-04-06,0.0,0.0,95
TXQ0T,C,2015-04-06,0.0,0.0,91
TXX00,E,2015-04-06,0.0,0.0,52
TXX06,E,2015-04-06,0.0,0.0,40
TXXX0,E,2015-04-06,0.0,0.0,59
TXZ06,E,2015-04-06,0.0,0.0,69
TXX00,B,2015-04-06,0.0,0.0,30
TXX06,B,2015-04-06,0.0,0.0,43
TXXX0,B,2015-04-06,0.0,0.0,40
TXZ06,B,2015-04-06,0.0,0.0,47
TXX00,A,2015-04-06,0.0,0.0,2
TXX06,A,2015-04-06,0.0,0.0,3
TXX00,C,2015-04-06,0.0,0.0,89
TXX06,C,2015-04-06,0.0,0.0,90
TXXX0,C,2015-04-06,0.0,0.0,89
TXZ06,C,2015-04-06,0.0,0.0,91
TXX00,D,2015-04-06,0.0,0.0,1
TXX06,D,2015-04-06,0.0,0.0,1
TXZ06,D,2015-04-06,0.0,0.0,1
TXQT7,E,2015-04-06,0.0,0.0,51
TXQTZ,E,2015-04-06,0.0,0.0,56
TXQT7,B,2015-04-06,0.0,0.0,42
TXQTZ,B,2015-04-06,0.0,0.0,52
TXQT7,A,2015-04-06,0.0,0.0,9
TXQTZ,A,2015-04-06,0.0,0.0,7
TXQQX,C,2015-04-06,0.0,0.0,35
TXQT7,C,2015-04-06,0.0,0.0,85
TXQTZ,C,2015-04-06,0.0,0.0,88
TXQQX,F,2015-04-06,0.0,0.0,1
TXX5Q,E,2015-04-13,0.0,0.0,52
TXQ0T,E,2015-04-13,0.0,0.0,51
TXX5Q,B,2015-04-13,0.0,0.0,33
TXQ0T,B,2015-04-13,0.0,0.0,26
TXX5Q,A,2015-04-13,0.0,0.0,55
TXQ0T,A,2015-04-13,0.0,0.0,26
TXX5Q,C,2015-04-13,0.0,0.0,97
TXQ0T,C,2015-04-13,0.0,0.0,93
TXX00,E,2015-04-13,0.0,0.0,52
TXX06,E,2015-04-13,0.0,0.0,55
TXXX0,E,2015-04-13,0.0,0.0,51
TXZ06,E,2015-04-13,0.0,0.0,59
TXX00,B,2015-04-13,0.0,0.0,30
TXX06,B,2015-04-13,0.0,0.0,41
TXXX0,B,2015-04-13,0.0,0.0,35
TXZ06,B,2015-04-13,0.0,0.0,44
TXX00,A,2015-04-13,0.0,0.0,2
TXX06,A,2015-04-13,0.0,0.0,2
TXX00,C,2015-04-13,0.0,0.0,96
TXX06,C,2015-04-13,0.0,0.0,94
TXXX0,C,2015-04-13,0.0,0.0,90
TXZ06,C,2015-04-13,0.0,0.0,90
TXX06,D,2015-04-13,0.0,0.0,1
TXZ06,D,2015-04-13,0.0,0.0,1
TXX00,F,2015-04-13,0.0,0.0,3
TXQT7,E,2015-04-13,0.0,0.0,61
TXQTZ,E,2015-04-13,0.0,0.0,58
TXQT7,B,2015-04-13,0.0,0.0,44
TXQTZ,B,2015-04-13,0.0,0.0,53
TXQT7,A,2015-04-13,0.0,0.0,9
TXQTZ,A,2015-04-13,0.0,0.0,5
TXQQX,C,2015-04-13,0.0,0.0,41
TXQT7,C,2015-04-13,0.0,0.0,93
TXQTZ,C,2015-04-13,0.0,0.0,96
TXX5Q,E,2015-04-20,0.0,0.0,53
TXQ0T,E,2015-04-20,0.0,0.0,45
TXX5Q,B,2015-04-20,0.0,0.0,31
TXQ0T,B,2015-04-20,0.0,0.0,26
TXX5Q,A,2015-04-20,0.0,0.0,45
TXQ0T,A,2015-04-20,0.0,0.0,33
TXX5Q,C,2015-04-20,0.0,0.0,96
TXQ0T,C,2015-04-20,0.0,0.0,94
TXX00,E,2015-04-20,0.0,0.0,50
TXX06,E,2015-04-20,0.0,0.0,48
TXXX0,E,2015-04-20,0.0,0.0,58
TXZ06,E,2015-04-20,0.0,0.0,63
TXX00,B,2015-04-20,0.0,0.0,40
TXX06,B,2015-04-20,0.0,0.0,37
TXXX0,B,2015-04-20,0.0,0.0,35
TXZ06,B,2015-04-20,0.0,0.0,38
TXX00,C,2015-04-20,0.0,0.0,90
TXX06,C,2015-04-20,0.0,0.0,92
TXXX0,C,2015-04-20,0.0,0.0,89
TXZ06,C,2015-04-20,0.0,0.0,93
TXX06,D,2015-04-20,0.0,0.0,1
TXZ06,D,2015-04-20,0.0,0.0,1
TXQT7,E,2015-04-20,0.0,0.0,56
TXQTZ,E,2015-04-20,0.0,0.0,50
TXQT7,B,2015-04-20,0.0,0.0,42
TXQTZ,B,2015-04-20,0.0,0.0,42
TXQT7,A,2015-04-20,0.0,0.0,3
TXQTZ,A,2015-04-20,0.0,0.0,3
TXQQX,C,2015-04-20,0.0,0.0,37
TXQT7,C,2015-04-20,0.0,0.0,88
TXQTZ,C,2015-04-20,0.0,0.0,89
TXX5Q,E,2015-04-27,0.0,0.0,56
TXQ0T,E,2015-04-27,0.0,0.0,49
TXX5Q,B,2015-04-27,0.0,0.0,36
TXQ0T,B,2015-04-27,0.0,0.0,33
TXX5Q,A,2015-04-27,0.0,0.0,50
TXQ0T,A,2015-04-27,0.0,0.0,24
TXX5Q,C,2015-04-27,0.0,0.0,94
TXQ0T,C,2015-04-27,0.0,0.0,92
TXX00,E,2015-04-27,0.0,0.0,47
TXX06,E,2015-04-27,0.0,0.0,45
TXXX0,E,2015-04-27,0.0,0.0,54
TXZ06,E,2015-04-27,0.0,0.0,63
TXX00,B,2015-04-27,0.0,0.0,24
